"year_loc","period","ndays","start","end"
"2014-DEH1","GerEme",7,"Germination","Emergence"
"2014-GAH1","GerEme",8,"Germination","Emergence"
"2014-IAH1","GerEme",9,"Germination","Emergence"
"2014-ILH1","GerEme",6,"Germination","Emergence"
"2014-INH1","GerEme",6,"Germination","Emergence"
"2014-MNH1","GerEme",9,"Germination","Emergence"
"2014-MOH1","GerEme",7,"Germination","Emergence"
"2014-MOH2","GerEme",6,"Germination","Emergence"
"2014-NEH1","GerEme",7,"Germination","Emergence"
"2014-NEH2","GerEme",8,"Germination","Emergence"
"2014-NYH2","GerEme",8,"Germination","Emergence"
"2014-TXH1","GerEme",14,"Germination","Emergence"
"2014-TXH2","GerEme",7,"Germination","Emergence"
"2014-WIH1","GerEme",11,"Germination","Emergence"
"2015-DEH1","GerEme",8,"Germination","Emergence"
"2015-GAH1","GerEme",6,"Germination","Emergence"
"2015-ILH1","GerEme",7,"Germination","Emergence"
"2015-INH1","GerEme",8,"Germination","Emergence"
"2015-KSH1","GerEme",9,"Germination","Emergence"
"2015-MNH1","GerEme",9,"Germination","Emergence"
"2015-MOH1","GerEme",6,"Germination","Emergence"
"2015-MOH2","GerEme",7,"Germination","Emergence"
"2015-NEH2","GerEme",9,"Germination","Emergence"
"2015-NEH3","GerEme",6,"Germination","Emergence"
"2015-NYH2","GerEme",7,"Germination","Emergence"
"2015-NYH3","GerEme",6,"Germination","Emergence"
"2015-OHH1","GerEme",7,"Germination","Emergence"
"2015-SDH1","GerEme",10,"Germination","Emergence"
"2015-TXH1","GerEme",9,"Germination","Emergence"
"2015-TXH2","GerEme",7,"Germination","Emergence"
"2016-ARH1","GerEme",9,"Germination","Emergence"
"2016-ARH2","GerEme",6,"Germination","Emergence"
"2016-DEH1","GerEme",11,"Germination","Emergence"
"2016-GAH1","GerEme",8,"Germination","Emergence"
"2016-GAH2","GerEme",5,"Germination","Emergence"
"2016-IAH2","GerEme",12,"Germination","Emergence"
"2016-IAH3","GerEme",12,"Germination","Emergence"
"2016-IAH4","GerEme",12,"Germination","Emergence"
"2016-ILH1","GerEme",10,"Germination","Emergence"
"2016-INH1","GerEme",7,"Germination","Emergence"
"2016-MIH1","GerEme",6,"Germination","Emergence"
"2016-MNH1","GerEme",8,"Germination","Emergence"
"2016-MOH1","GerEme",6,"Germination","Emergence"
"2016-NEH1","GerEme",8,"Germination","Emergence"
"2016-NEH4","GerEme",5,"Germination","Emergence"
"2016-NYH1","GerEme",8,"Germination","Emergence"
